resistance_ohm,frequency_Hz,I_P_PP,I_P_AMP,I_P_AVG,I_OUT_AMP,I_OUT_AVG,I_IN_AMP,I_IN_AVG,V_SW_FREQ,V_SW_AMP,V_OUT_AVG,V_OUT_PP,V_SEC_AMP
5.0,100000.0,6.3,6.3,-0.68,0.021,1.13743,0.131,0.3855,100000.0,24.0,5.68472,0.14,12.9
5.0,101000.0,6.3,6.3,-0.67,0.027,1.17775,0.138,0.4043,101000.0,24.0,5.87895,0.15,13.7
5.0,102000.0,6.3,6.3,-0.64,0.024,1.21314,0.138,0.4273,101800.0,24.0,6.07786,0.17,13.7
5.0,103000.0,6.9,6.9,-0.68,0.022,1.25223,0.138,0.4505,103100.0,24.0,6.26972,0.16,14.5
5.0,104000.0,6.9,6.9,-0.67,0.022,1.29387,0.138,0.4786,104000.0,24.0,6.49462,0.17,14.5
5.0,105000.0,6.9,6.9,-0.64,0.032,1.33924,0.138,0.504,104800.0,24.0,6.70177,0.16,15.3
5.0,106000.0,6.9,6.9,-0.65,0.031,1.3808,0.15,0.5356,106200.0,24.0,6.94001,0.18,15.3
5.0,107000.0,7.5,7.5,-0.66,0.035,1.43115,0.15,0.5672,107100.0,24.0,7.17917,0.15,16.1
5.0,108000.0,7.8,7.8,-0.69,0.022,1.47896,0.144,0.6034,108000.0,24.0,7.44851,0.16,16.9
5.0,109000.0,7.8,7.8,-0.67,0.031,1.52916,0.144,0.6425,108900.0,24.0,7.72103,0.17,16.9
5.0,110000.0,8.1,8.1,-0.66,0.034,1.58521,0.15,0.6855,109900.0,24.0,7.99268,0.16,17.7
5.0,111000.0,8.4,8.4,-0.66,0.024,1.6397,0.144,0.7281,110900.0,24.0,8.28692,0.16,18.5
5.0,112000.0,8.4,8.4,-0.67,0.036,1.69844,0.15,0.778,111900.0,24.0,8.58712,0.17,19.3
5.0,113000.0,8.8,8.8,-0.65,0.035,1.75846,0.156,0.8304,112900.0,23.0,8.90016,0.16,19.3
5.0,114000.0,9.1,9.1,-0.67,0.036,1.82312,0.156,0.883,113900.0,23.0,9.21585,0.16,20.1
5.0,115000.0,9.7,9.7,-0.68,0.035,1.88666,0.156,0.9429,114900.0,23.0,9.55077,0.18,20.9
5.0,116000.0,9.7,9.7,-0.67,0.037,1.95114,0.15,1.0066,116000.0,23.0,9.88596,0.15,21.7
5.0,117000.0,10.0,10.0,-0.67,0.037,2.01912,0.156,1.0725,117100.0,23.0,10.22573,0.17,22.5
5.0,118000.0,10.3,10.3,-0.7,0.039,2.08502,0.156,1.1407,118200.0,23.0,10.57208,0.16,23.3
5.0,119000.0,10.6,10.6,-0.68,0.041,2.14991,0.156,1.2101,119000.0,23.0,10.90092,0.18,23.7
5.0,120000.0,10.9,10.9,-0.67,0.039,2.21675,0.156,1.2804,119900.0,23.0,11.247,0.18,24.1
5.0,121000.0,11.3,11.3,-0.7,0.04,2.27621,0.156,1.3491,121100.0,23.0,11.56222,0.18,24.9
5.0,122000.0,11.3,11.3,-0.66,0.039,2.33427,0.15,1.4156,122000.0,23.0,11.87069,0.18,25.7
5.0,123000.0,11.9,11.9,-0.68,0.04,2.38756,0.15,1.4809,122900.0,23.0,12.14411,0.18,26.5
5.0,124000.0,11.9,11.9,-0.67,0.044,2.4388,0.156,1.5376,124100.0,23.0,12.39319,0.18,26.5
5.0,125000.0,11.6,11.6,-0.68,0.041,2.4802,0.15,1.589,125000.0,23.0,12.60593,0.18,27.3
5.0,126000.0,11.9,11.9,-0.69,0.04,2.51259,0.15,1.6303,125900.0,23.0,12.78008,0.18,27.3
5.0,127000.0,11.9,11.9,-0.68,0.041,2.53726,0.15,1.6621,127200.0,23.0,12.9122,0.18,28.1
5.0,128000.0,11.9,11.9,-0.68,0.039,2.55566,0.15,1.6816,127900.0,23.0,12.99133,0.18,28.1
5.0,129000.0,11.9,11.9,-0.68,0.039,2.56462,0.144,1.6922,129200.0,23.0,13.03259,0.18,28.1
5.0,129700.0,11.9,11.9,-0.68,0.037,2.56612,0.144,1.6921,129900.0,23.0,13.03663,0.18,28.1
5.0,130000.0,11.9,11.9,-0.69,0.036,2.56269,0.144,1.6894,129900.0,23.0,13.03969,0.18,28.1
5.0,131000.0,11.9,11.9,-0.67,0.039,2.5541,0.144,1.6779,131200.0,23.0,12.9938,0.18,28.1
5.0,132000.0,11.3,11.3,-0.65,0.035,2.54206,0.144,1.6593,132300.0,23.0,12.92336,0.15,28.1
5.0,133000.0,11.3,11.3,-0.67,0.035,2.52036,0.138,1.6322,133000.0,23.0,12.8194,0.16,28.1
5.0,134000.0,11.3,11.3,-0.66,0.039,2.48896,0.131,1.5935,134000.0,23.0,12.66287,0.17,27.3
5.0,135000.0,10.6,10.6,-0.69,0.036,2.45037,0.131,1.5475,135100.0,23.0,12.46258,0.18,27.3
5.0,136000.0,10.6,10.6,-0.68,0.039,2.40601,0.131,1.4892,135900.0,23.0,12.22492,0.18,26.5
5.0,137000.0,10.6,10.6,-0.67,0.032,2.35513,0.131,1.43,137000.0,23.0,11.95514,0.18,26.1
5.0,138000.0,10.0,10.0,-0.67,0.035,2.29933,0.119,1.3648,138100.0,23.0,11.672,0.16,25.7
5.0,139000.0,10.0,10.0,-0.66,0.034,2.24006,0.119,1.2992,138900.0,23.0,11.36946,0.16,24.9
5.0,139700.0,9.7,9.7,-0.68,0.034,2.20121,0.113,1.2546,139700.0,23.0,11.15586,0.17,24.1
5.0,140000.0,9.7,9.7,-0.67,0.032,2.18293,0.119,1.2347,140100.0,23.0,11.06433,0.16,24.1
5.0,141000.0,9.7,9.7,-0.66,0.034,2.12205,0.113,1.1733,141200.0,24.0,10.75722,0.16,23.3
5.0,142000.0,9.4,9.4,-0.67,0.034,2.06265,0.113,1.1083,142000.0,24.0,10.45492,0.14,22.9
5.0,143000.0,9.1,9.1,-0.67,0.032,2.00463,0.106,1.0505,142900.0,24.0,10.15279,0.16,22.5
5.0,144000.0,8.8,8.8,-0.65,0.019,1.94763,0.119,0.9951,144100.0,24.0,9.86293,0.14,21.7
5.0,145000.0,8.8,8.8,-0.64,0.017,1.89358,0.119,0.9426,144900.0,24.0,9.58291,0.15,20.9
5.0,146000.0,8.1,8.1,-0.66,0.019,1.84304,0.113,0.8951,146200.0,24.0,9.29795,0.14,20.5
5.0,147000.0,8.1,8.1,-0.65,0.019,1.79128,0.113,0.8484,147100.0,24.0,9.0296,0.15,20.1
5.0,148000.0,8.1,8.1,-0.68,0.01,1.73731,0.113,0.8054,147900.0,24.0,8.7812,0.14,19.3
5.0,149000.0,8.1,8.1,-0.64,0.019,1.69074,0.113,0.7651,148800.0,24.0,8.52753,0.14,18.9
5.0,150000.0,7.5,7.5,-0.66,0.019,1.64322,0.106,0.7294,149700.0,24.0,8.29362,0.15,18.5
5.0,151000.0,7.5,7.5,-0.65,0.01,1.60329,0.106,0.6946,151100.0,24.0,8.06448,0.16,17.7
5.0,152000.0,7.5,7.5,-0.66,0.019,1.56082,0.106,0.663,152000.0,24.0,7.85139,0.14,17.7
5.0,153000.0,7.2,7.2,-0.65,0.01,1.52048,0.1,0.6328,152900.0,24.0,7.64815,0.14,16.9
5.0,154000.0,6.9,6.9,-0.66,0.01,1.48177,0.1,0.604,154300.0,24.0,7.45188,0.17,16.9
5.0,155000.0,6.9,6.9,-0.65,0.019,1.44527,0.1,0.5776,155300.0,24.0,7.26446,0.14,16.1
5.0,156000.0,6.9,6.9,-0.64,0.01,1.40781,0.1,0.5545,156300.0,24.0,7.08793,0.14,16.1
5.0,157000.0,6.9,6.9,-0.62,0.019,1.37847,0.094,0.5322,157200.0,24.0,6.90342,0.16,15.3
5.0,158000.0,6.3,6.3,-0.65,0.01,1.34404,0.088,0.51,158200.0,24.0,6.74257,0.14,15.3
5.0,159000.0,6.3,6.3,-0.66,0.01,1.3147,0.088,0.4899,159200.0,24.0,6.57826,0.14,14.9
5.0,160000.0,6.3,6.3,-0.66,0.01,1.28509,0.088,0.4708,160300.0,24.0,6.44164,0.14,14.5
5.0,161000.0,6.3,6.3,-0.66,0.01,1.25664,0.088,0.4539,161300.0,24.0,6.28706,0.14,14.5
5.0,162000.0,6.3,6.3,-0.66,0.01,1.22917,0.081,0.438,162300.0,24.0,6.16117,0.14,14.1
5.0,163000.0,6.3,6.3,-0.63,0.01,1.20418,0.081,0.4223,162900.0,24.0,6.02068,0.14,13.7
5.0,164000.0,5.9,5.9,-0.65,0.01,1.17681,0.081,0.4083,163900.0,24.0,5.90169,0.14,13.7
5.0,165000.0,6.3,6.3,-0.67,0.01,1.15399,0.075,0.395,165000.0,24.0,5.77717,0.11,13.3
5.0,166000.0,5.9,5.9,-0.66,0.017,1.13344,0.075,0.3823,166100.0,24.0,5.65657,0.12,12.9
5.0,167000.0,5.6,5.6,-0.63,0.025,1.111,0.069,0.3697,166700.0,24.0,5.55261,0.11,12.9
5.0,168000.0,5.6,5.6,-0.67,0.01,1.09086,0.069,0.3562,167800.0,24.0,5.43797,0.14,12.5
5.0,169000.0,5.6,5.6,-0.66,0.01,1.07163,0.069,0.3477,168900.0,24.0,5.34504,0.12,12.1
5.0,170000.0,5.6,5.6,-0.66,0.01,1.05212,0.069,0.337,170100.0,24.0,5.23612,0.14,12.1
5.0,171000.0,5.6,5.6,-0.67,0.01,1.03199,0.063,0.3277,171200.0,24.0,5.14484,0.14,12.1
5.0,172000.0,5.6,5.6,-0.66,0.01,1.01408,0.063,0.3194,171800.0,24.0,5.05483,0.12,11.7
5.0,173000.0,5.3,5.3,-0.68,0.017,0.99527,0.056,0.3098,173000.0,24.0,4.96181,0.11,11.3
5.0,174000.0,5.3,5.3,-0.69,0.01,0.97912,0.056,0.3024,174200.0,24.0,4.87891,0.1,11.3
5.0,175000.0,5.3,5.3,-0.67,0.01,0.96514,0.05,0.2961,174800.0,24.0,4.79985,0.12,11.3
5.0,176000.0,5.0,5.0,-0.67,0.01,0.94878,0.05,0.2877,176100.0,24.0,4.71525,0.12,11.3
5.0,177000.0,5.0,5.0,-0.66,0.01,0.93204,0.05,0.2802,177300.0,24.0,4.63709,0.1,10.9
5.0,178000.0,5.0,5.0,-0.67,0.016,0.91702,0.056,0.2732,177900.0,24.0,4.56548,0.1,10.5
5.0,179000.0,5.0,5.0,-0.65,0.017,0.90409,0.056,0.2664,179200.0,24.0,4.49881,0.09,10.5
5.0,180000.0,5.0,5.0,-0.65,0.01,0.8913,0.056,0.2616,179900.0,24.0,4.42776,0.1,10.5
5.0,181000.0,4.7,4.7,-0.65,0.01,0.87939,0.05,0.255,181200.0,24.0,4.3603,0.11,10.5
5.0,182000.0,5.0,5.0,-0.68,0.015,0.86364,0.056,0.2497,181800.0,24.0,4.28667,0.11,10.5
5.0,183000.0,5.0,5.0,-0.65,0.01,0.85394,0.05,0.2455,183200.0,24.0,4.22859,0.1,10.1
5.0,184000.0,4.7,4.7,-0.67,0.01,0.8405,0.05,0.2397,183800.0,24.0,4.17124,0.1,9.6
5.0,185000.0,4.7,4.7,-0.68,0.01,0.83131,0.05,0.2359,185200.0,24.0,4.10587,0.1,9.6
5.0,186000.0,5.0,5.0,-0.67,0.016,0.82039,0.05,0.2316,185900.0,24.0,4.05485,0.1,10.7
5.0,187000.0,4.4,4.4,-0.68,0.01,0.80709,0.05,0.2257,187300.0,24.0,3.99973,0.1,10.7
5.0,188000.0,4.7,4.7,-0.65,0.016,0.79612,0.05,0.2224,188000.0,24.0,3.93816,0.12,10.7
5.0,189000.0,4.4,4.4,-0.66,0.01,0.78627,0.05,0.2194,189000.0,24.0,3.89007,0.1,10.5
5.0,190000.0,4.4,4.4,-0.67,0.01,0.77698,0.05,0.2159,190000.0,24.0,3.83663,0.11,10.5
5.0,191000.0,4.7,4.7,-0.67,0.016,0.76676,0.05,0.2105,191000.0,24.0,3.78859,0.13,10.5
5.0,192000.0,4.4,4.4,-0.66,0.01,0.7574,0.05,0.2073,192000.0,24.0,3.73269,0.14,10.5
5.0,193000.0,4.4,4.4,-0.67,0.01,0.74978,0.05,0.2028,193000.0,24.0,3.69897,0.14,10.5
5.0,194000.0,4.4,4.4,-0.68,0.01,0.74019,0.05,0.1995,194000.0,24.0,3.63959,0.14,10.1
5.0,195000.0,4.4,4.4,-0.67,0.01,0.7309,0.05,0.1969,195000.0,24.0,3.60745,0.14,10.1
5.0,196000.0,4.4,4.4,-0.66,0.01,0.72278,0.05,0.1943,196000.0,24.0,3.56145,0.14,10.1
5.0,197000.0,4.4,4.4,-0.68,0.016,0.71554,0.05,0.1913,197000.0,24.0,3.51464,0.14,9.6
5.0,198000.0,4.4,4.4,-0.68,0.016,0.70654,0.05,0.1871,198000.0,24.0,3.47789,0.12,10.1
5.0,199000.0,4.1,4.1,-0.69,0.016,0.7003,0.05,0.1868,199000.0,24.0,3.4431,0.14,9.6
5.0,200000.0,4.1,4.1,-0.68,0.01,0.69179,0.05,0.1831,200000.0,24.0,3.39599,0.13,9.2
5.0,201000.0,4.4,4.4,-0.66,0.017,0.68491,0.05,0.181,201000.0,24.0,3.36162,0.12,9.6
5.0,202000.0,3.8,3.8,-0.67,0.01,0.6777,0.044,0.1775,202000.0,24.0,3.33051,0.13,9.2
5.0,203000.0,4.1,4.1,-0.7,0.01,0.67039,0.05,0.1761,203000.0,24.0,3.29178,0.14,9.2
5.0,204000.0,4.1,4.1,-0.68,0.01,0.66329,0.044,0.1741,204000.0,24.0,3.24227,0.14,9.2
5.0,205000.0,4.1,4.1,-0.69,0.01,0.65655,0.044,0.1715,205000.0,24.0,3.23431,0.13,9.2
5.0,206000.0,3.8,3.8,-0.66,0.01,0.64828,0.044,0.1692,206000.0,24.0,3.18786,0.14,9.2
5.0,207000.0,3.8,3.8,-0.66,0.015,0.64135,0.044,0.1675,207000.0,24.0,3.15462,0.13,8.8
5.0,208000.0,4.4,4.4,-0.69,0.016,0.63699,0.044,0.1651,207000.0,24.0,3.11504,0.13,8.8
5.0,209000.0,4.1,3.4,-0.69,0.01,0.63213,0.044,0.1649,209000.0,24.0,3.08742,0.13,8.8
5.0,210000.0,3.8,3.8,-0.66,0.01,0.62446,0.044,0.161,210000.0,24.0,3.05303,0.11,9.2
5.0,211000.0,3.8,3.8,-0.68,0.01,0.61754,0.044,0.1593,211000.0,24.0,3.02849,0.09,8.8
5.0,212000.0,3.8,3.8,-0.68,0.01,0.61286,0.044,0.1561,212000.0,24.0,2.99234,0.08,8.8
5.0,213000.0,3.8,3.8,-0.68,0.01,0.60553,0.038,0.1561,213000.0,24.0,2.95908,0.08,8.4
5.0,214000.0,3.8,3.8,-0.68,0.01,0.59748,0.044,0.1538,215000.0,24.0,2.92285,0.08,8.8
5.0,215000.0,3.8,3.8,-0.67,0.01,0.59142,0.038,0.1512,215000.0,24.0,2.90411,0.09,8.8
5.0,216000.0,3.4,3.4,-0.69,0.015,0.58934,0.038,0.1506,216000.0,24.0,2.88207,0.08,8.8
5.0,217000.0,3.8,3.8,-0.67,0.01,0.58445,0.038,0.1491,216000.0,24.0,2.83667,0.08,8.0
5.0,218000.0,3.8,3.8,-0.68,0.01,0.57744,0.038,0.1463,218000.0,24.0,2.81772,0.09,8.0
5.0,219000.0,3.8,3.8,-0.68,0.01,0.57557,0.038,0.1455,218000.0,24.0,2.79513,0.09,8.4
5.0,220000.0,3.4,3.1,-0.71,0.01,0.56805,0.038,0.1438,220000.0,24.0,2.77127,0.07,8.0
5.0,221000.0,3.4,3.1,-0.68,0.01,0.56343,0.038,0.1434,220000.0,24.0,2.74606,0.08,8.0
5.0,222000.0,3.4,3.1,-0.65,0.01,0.5589,0.038,0.1412,222000.0,24.0,2.72354,0.09,8.0
5.0,223000.0,3.4,3.1,-0.68,0.01,0.55526,0.038,0.14,222000.0,24.0,2.70469,0.09,8.0
5.0,224000.0,3.8,3.8,-0.67,0.01,0.55002,0.038,0.1411,224000.0,24.0,2.67776,0.07,8.0
5.0,225000.0,3.8,3.8,-0.67,0.01,0.54576,0.038,0.1378,224000.0,24.0,2.65172,0.08,8.0
5.0,226000.0,3.4,3.1,-0.67,0.01,0.54188,0.038,0.1348,226000.0,24.0,2.63355,0.09,8.0
5.0,227000.0,3.4,3.1,-0.67,0.014,0.5395,0.038,0.1362,226000.0,24.0,2.61174,0.09,8.0
5.0,228000.0,3.4,3.1,-0.67,0.01,0.53512,0.044,0.1362,228000.0,24.0,2.58048,0.09,8.0
5.0,229000.0,3.4,3.1,-0.67,0.01,0.5315,0.038,0.1338,228000.0,24.0,2.56818,0.09,8.0
5.0,230000.0,3.4,3.1,-0.68,0.01,0.52453,0.038,0.132,230000.0,24.0,2.5467,0.07,8.0
5.0,231000.0,3.4,3.1,-0.68,0.01,0.52074,0.038,0.1318,230000.0,24.0,2.5277,0.08,8.0
5.0,232000.0,3.4,3.1,-0.69,0.01,0.51681,0.038,0.1289,233000.0,24.0,2.5049,0.07,8.0
5.0,233000.0,3.8,3.8,-0.66,0.015,0.51372,0.038,0.1295,233000.0,24.0,2.48933,0.08,7.6
5.0,234000.0,3.4,3.1,-0.7,0.01,0.5093,0.038,0.127,235000.0,24.0,2.46843,0.08,7.6
5.0,235000.0,3.1,3.1,-0.65,0.01,0.50696,0.038,0.1279,235000.0,24.0,2.44114,0.07,7.6
5.0,236000.0,3.1,3.1,-0.67,0.01,0.50447,0.038,0.1258,237000.0,24.0,2.42793,0.08,8.0
5.0,237000.0,3.4,3.1,-0.68,0.01,0.49796,0.038,0.1256,237000.0,24.0,2.41027,0.08,8.0
5.0,238000.0,3.1,3.1,-0.69,0.01,0.49672,0.038,0.1255,237000.0,24.0,2.39574,0.08,7.2
5.0,239000.0,3.1,2.8,-0.71,0.016,0.49116,0.038,0.1231,239000.0,24.0,2.37998,0.08,7.2
5.0,240000.0,3.4,3.1,-0.67,0.01,0.48837,0.038,0.121,239000.0,24.0,2.41378,0.08,7.6
5.0,241000.0,3.1,3.1,-0.69,0.015,0.48535,0.038,0.1194,242000.0,24.0,2.33426,0.09,7.2
5.0,242000.0,3.1,3.1,-0.69,0.01,0.48138,0.031,0.1217,242000.0,24.0,2.33265,0.07,7.6
5.0,243000.0,3.1,3.1,-0.69,0.01,0.47943,0.038,0.1179,244000.0,24.0,2.30787,0.07,7.2
5.0,244000.0,3.1,3.1,-0.66,0.01,0.47585,0.038,0.119,244000.0,24.0,2.29348,0.07,7.2
5.0,245000.0,3.1,2.8,-0.69,0.014,0.47402,0.038,0.1176,244000.0,24.0,2.27633,0.08,7.2
5.0,246000.0,3.1,3.1,-0.67,0.01,0.46947,0.038,0.1187,246000.0,24.0,2.25435,0.09,7.2
5.0,247000.0,3.1,2.8,-0.64,0.01,0.46751,0.038,0.1165,246000.0,24.0,2.23294,0.09,7.2
5.0,248000.0,3.1,2.8,-0.68,0.01,0.46556,0.031,0.1186,249000.0,24.0,2.22396,0.09,7.2
5.0,249000.0,3.1,2.8,-0.65,0.01,0.46323,0.044,0.1171,249000.0,24.0,2.20908,0.07,7.2
5.0,250000.0,3.4,3.4,-0.66,0.01,0.45857,0.031,0.1175,249000.0,24.0,2.19949,0.08,7.2
5.0,251000.0,3.1,2.8,-0.68,0.014,0.45706,0.038,0.1172,251000.0,24.0,2.18354,0.08,7.2
5.0,252000.0,3.1,2.8,-0.68,0.01,0.45191,0.038,0.1119,251000.0,24.0,2.17211,0.07,7.2
5.0,253000.0,3.1,2.8,-0.69,0.01,0.44892,0.038,0.1139,254000.0,24.0,2.14138,0.08,7.2
5.0,254000.0,3.1,2.8,-0.67,0.01,0.44888,0.038,0.1123,254000.0,24.0,2.13174,0.08,7.2
5.0,255000.0,3.1,2.8,-0.71,0.01,0.44607,0.038,0.1126,255000.0,24.0,2.12365,0.08,7.2
5.0,256000.0,3.1,2.8,-0.67,0.01,0.44091,0.038,0.1107,256000.0,24.0,2.10591,0.06,7.2
5.0,257000.0,3.1,2.8,-0.72,0.01,0.43794,0.038,0.1102,256000.0,24.0,2.09349,0.08,7.2
5.0,258000.0,3.1,2.5,-0.68,0.01,0.43752,0.038,0.1108,259000.0,24.0,2.08223,0.08,6.8
5.0,259000.0,3.1,2.5,-0.69,0.01,0.43249,0.031,0.1115,259000.0,24.0,2.07457,0.08,6.8
5.0,260000.0,3.1,2.5,-0.69,0.01,0.43201,0.031,0.1084,259000.0,24.0,2.05584,0.07,6.8
5.0,261000.0,3.1,2.5,-0.7,0.014,0.42894,0.031,0.1103,262000.0,24.0,2.04472,0.07,6.4
5.0,262000.0,3.1,2.5,-0.69,0.01,0.42714,0.038,0.1077,262000.0,24.0,2.03151,0.07,6.4
5.0,263000.0,3.1,2.5,-0.68,0.01,0.42298,0.038,0.1073,263000.0,24.0,2.04577,0.07,6.8
5.0,264000.0,3.1,2.5,-0.69,0.01,0.42192,0.038,0.107,265000.0,24.0,2.01732,0.08,6.4
5.0,265000.0,3.1,2.8,-0.66,0.01,0.42057,0.038,0.1063,265000.0,24.0,1.99409,0.06,6.4
5.0,266000.0,3.1,2.5,-0.69,0.01,0.41618,0.031,0.1049,266000.0,24.0,1.99198,0.07,6.4
5.0,267000.0,3.1,2.5,-0.66,0.01,0.41496,0.038,0.1061,267000.0,24.0,1.97522,0.08,6.4
5.0,268000.0,3.1,2.5,-0.66,0.01,0.41425,0.038,0.1055,267000.0,24.0,1.96565,0.07,6.4
5.0,269000.0,3.1,2.5,-0.68,0.01,0.40983,0.038,0.1045,269000.0,24.0,1.95796,0.07,6.8
5.0,270000.0,2.8,2.8,-0.67,0.01,0.40914,0.031,0.1047,270000.0,24.0,1.93324,0.09,6.4
5.0,271000.0,2.8,2.8,-0.65,0.01,0.40828,0.031,0.1065,270000.0,24.0,1.93027,0.06,6.4
5.0,272000.0,3.1,2.5,-0.67,0.01,0.40493,0.038,0.1029,272000.0,24.0,1.92996,0.07,6.4
5.0,273000.0,3.1,2.5,-0.67,0.01,0.4016,0.038,0.1018,273000.0,24.0,1.91168,0.07,6.4
5.0,274000.0,2.8,2.8,-0.67,0.01,0.40098,0.038,0.103,273000.0,24.0,1.90163,0.08,6.4
5.0,275000.0,3.1,2.5,-0.65,0.01,0.3989,0.038,0.1014,275000.0,24.0,1.87867,0.08,6.4
5.0,276000.0,3.1,2.5,-0.66,0.014,0.39617,0.031,0.101,276000.0,24.0,1.87464,0.08,6.4
5.0,277000.0,3.1,2.5,-0.68,0.012,0.39401,0.038,0.1012,276000.0,24.0,1.8641,0.07,6.4
5.0,278000.0,3.1,2.5,-0.68,0.01,0.39212,0.031,0.1,278000.0,24.0,1.84894,0.08,6.4
5.0,279000.0,2.8,2.8,-0.68,0.01,0.38875,0.038,0.0999,279000.0,24.0,1.84121,0.08,6.4
5.0,280000.0,3.1,2.5,-0.65,0.01,0.3881,0.031,0.1008,279000.0,24.0,1.83789,0.08,6.4
5.0,281000.0,2.8,2.8,-0.68,0.012,0.38582,9.9e+37,0.0986,281000.0,24.0,1.83043,0.07,6.4
5.0,282000.0,2.8,2.8,-0.69,0.01,0.38525,0.038,0.0988,282000.0,24.0,1.81317,0.08,6.4
5.0,283000.0,3.1,2.5,-0.68,0.01,0.38127,0.038,0.0991,282000.0,24.0,1.80286,0.07,6.4
5.0,284000.0,3.1,2.5,-0.69,0.01,0.37954,0.031,0.1009,284000.0,24.0,1.80732,0.08,6.4
5.0,285000.0,2.5,2.5,-0.69,0.01,0.37922,0.031,0.098,286000.0,24.0,1.77807,0.07,6.4
5.0,286000.0,3.1,2.5,-0.65,0.01,0.37764,0.031,0.0977,286000.0,24.0,1.76835,0.08,6.4
5.0,287000.0,3.1,2.5,-0.67,0.014,0.37548,0.031,0.0983,287000.0,24.0,1.76764,0.07,6.4
5.0,288000.0,2.5,2.5,-0.65,0.01,0.37363,0.031,0.0969,287000.0,24.0,1.76235,0.07,6.4
5.0,289000.0,2.8,2.8,-0.69,0.01,0.37326,0.031,0.0976,289000.0,24.0,1.74766,0.07,6.4
5.0,290000.0,3.1,2.5,-0.64,0.01,0.36967,0.031,0.0964,291000.0,24.0,1.74931,0.07,6.4
5.0,291000.0,2.5,2.5,-0.68,0.01,0.36767,0.031,0.0954,291000.0,24.0,1.73759,0.08,6.0
5.0,292000.0,2.5,2.5,-0.7,0.01,0.36739,0.031,0.0958,292000.0,24.0,1.73619,0.07,6.4
5.0,293000.0,2.5,2.5,-0.65,0.01,0.36569,0.031,0.0947,292000.0,24.0,1.71328,0.08,6.0
5.0,294000.0,2.5,2.5,-0.68,0.01,0.36482,0.031,0.0947,294000.0,24.0,1.69942,0.06,6.0
5.0,295000.0,2.5,2.5,-0.66,0.01,0.36429,0.031,0.0928,296000.0,24.0,1.70031,0.08,6.0
5.0,296000.0,2.5,2.5,-0.65,0.01,0.35933,0.031,0.0938,296000.0,24.0,1.68801,0.08,6.0
5.0,297000.0,2.8,2.5,-0.7,0.01,0.35888,0.031,0.0949,298000.0,24.0,1.67587,0.07,6.0
5.0,298000.0,2.5,2.5,-0.67,0.01,0.35758,0.031,0.0948,298000.0,24.0,1.66205,0.08,6.0
5.0,299000.0,2.8,2.8,-0.67,0.01,0.35444,0.031,0.095,299000.0,24.0,1.66928,0.07,6.0
5.0,300000.0,2.5,2.5,-0.67,0.01,0.35418,0.031,0.0942,299000.0,24.0,1.65603,0.07,5.6
5.0,301000.0,2.5,2.5,-0.65,0.01,0.35269,0.031,0.0945,301000.0,24.0,1.65214,0.09,6.0
